Poll	Date	Sample	Democrats	Republicans	Spread
Rasmussen Reports	9/3 - 9/9	3500 LV	42	44	Democrats +2
Rasmussen Reports	8/27 - 9/2	3500 LV	43	42	Republicans +1
Democracy Corps (D)	8/23 - 8/27	1000 LV	47	46	Republicans +1
Resurgent Republic (R)	8/16 - 8/22	1000 LV	40	44	Democrats +4
Rasmussen Reports	8/20 - 8/26	3500 LV	42	42	Tie
USA Today/Gallup	8/20 - 8/22	955 RV	47	47	Tie
Rasmussen Reports	8/13 - 8/19	3500 LV	42	41	Republicans +1
Rasmussen Reports	8/6 - 8/12	3500 LV	42	39	Republicans +3
Politico/GWU/Battleground	8/5 - 8/9	1000 LV	45	43	Republicans +2
Reuters/Ipsos	8/2 - 8/6	1014 RV	46	46	Tie
Rasmussen Reports	7/29 - 8/5	3500 LV	42	39	Republicans +3
Rasmussen Reports	7/23 - 7/29	3500 LV	43	40	Republicans +3
Democracy Corps (D)	7/21 - 7/25	700 LV	46	46	Tie
Rasmussen Reports	7/16 - 7/22	3500 LV	43	40	Republicans +3
Rasmussen Reports	7/9 - 7/15	3500 LV	43	40	Republicans +3
Reuters/Ipsos	7/5 - 7/9	885 RV	48	44	Republicans +4
Rasmussen Reports	7/2 - 7/8	3500 LV	43	40	Republicans +3
Quinnipiac	7/1 - 7/8	2722 RV	40	43	Democrats +3
Rasmussen Reports	6/25 - 7/1	3500 LV	41	40	Republicans +1
Newsweek/Daily Beast	6/28 - 6/28	600 LV	38	36	Republicans +2
Democracy Corps (D)	6/23 - 6/27	1000 LV	46	45	Republicans +1
Rasmussen Reports	6/18 - 6/24	3500 LV	44	39	Republicans +5
Bloomberg	6/15 - 6/18	734 LV	41	48	Democrats +7
Rasmussen Reports	6/11 - 6/17	3500 LV	45	38	Republicans +7
Pew Research	6/7 - 6/17	1563 RV	43	47	Democrats +4
Reuters/Ipsos	6/7 - 6/11	848 RV	44	47	Democrats +3
Rasmussen Reports	6/4 - 6/10	3500 LV	45	39	Republicans +6
Rasmussen Reports	5/28 - 6/3	3500 LV	44	37	Republicans +7
CNN/Opinion Research	5/29 - 5/31	895 RV	45	48	Democrats +3
Rasmussen Reports	5/21 - 5/27	3500 LV	42	39	Republicans +3
Rasmussen Reports	5/14 - 5/20	3500 LV	43	39	Republicans +4
USA Today/Gallup	5/10 - 5/13	1012 A	50	44	Republicans +6
Rasmussen Reports	5/7 - 5/12	3500 LV	45	38	Republicans +7
Reuters/Ipsos	5/3 - 5/7	959 RV	44	46	Democrats +2
Rasmussen Reports	4/30 - 5/6	3500 LV	44	41	Republicans +3
Resurgent Republic (R)	4/30 - 5/3	1000 RV	40	45	Democrats +5
Politico/GWU/Battleground	4/29 - 5/3	1000 LV	45	43	Republicans +2
Democracy Corps (D)	4/28 - 5/1	1000 LV	45	46	Democrats +1
Rasmussen Reports	4/23 - 4/29	3500 LV	43	40	Republicans +3
Rasmussen Reports	4/16 - 4/22	3500 LV	43	40	Republicans +3
Quinnipiac	4/11 - 4/17	2577 RV	39	40	Democrats +1
Reuters/Ipsos	4/12 - 4/15	891 RV	41	42	Democrats +1
Rasmussen Reports	4/9 - 4/15	3500 LV	46	36	Republicans +10
Rasmussen Reports	4/2 - 4/8	3500 LV	45	40	Republicans +5
Rasmussen Reports	3/26 - 4/1	3500 LV	45	39	Republicans +6
Rasmussen Reports	3/19 - 3/25	3500 LV	43	38	Republicans +5
McClatchy/Marist	3/20 - 3/22	846 RV	47	43	Republicans +4
Rasmussen Reports	3/12 - 3/18	3500 LV	44	40	Republicans +4
Bloomberg	3/8 - 3/11	746 LV	46	44	Republicans +2
Reuters/Ipsos	3/8 - 3/11	937 RV	43	47	Democrats +4
Rasmussen Reports	3/5 - 3/11	3500 LV	44	38	Republicans +6
Rasmussen Reports	2/27 - 3/4	3500 LV	44	41	Republicans +3
Rasmussen Reports	2/20 - 2/26	3500 LV	43	39	Republicans +4
Politico/GWU/Battleground	2/19 - 2/22	1000 LV	45	46	Democrats +1
Quinnipiac	2/14 - 2/20	2605 RV	40	38	Republicans +2
USA Today/Gallup	2/16 - 2/19	898 RV	47	47	Tie
Rasmussen Reports	2/13 - 2/19	3500 LV	42	41	Republicans +1
Democracy Corps (D)	2/11 - 2/14	1000 LV	45	47	Democrats +2
Rasmussen Reports	2/6 - 2/12	3500 LV	43	41	Republicans +2
Reuters/Ipsos	2/2 - 2/6	881 RV	44	46	Democrats +2
Rasmussen Reports	1/30 - 2/5	3500 LV	43	41	Republicans +2
Rasmussen Reports	1/23 - 1/29	3500 LV	40	41	Democrats +1
Rasmussen Reports	1/16 - 1/22	3500 LV	42	39	Republicans +3
Rasmussen Reports	1/9 - 1/15	3500 LV	44	38	Republicans +6
Democracy Corps (D)	1/8 - 1/11	1000 LV	44	47	Democrats +3
Reuters/Ipsos	1/5 - 1/9	896 RV	44	48	Democrats +4
Rasmussen Reports	1/2 - 1/8	4000 LV	44	38	Republicans +6
Rasmussen Reports	12/26 - 12/30	3000 LV	43	38	Republicans +5
Rasmussen Reports	12/19 - 12/22	3500 LV	43	40	Republicans +3
PPP (D)	12/16 - 12/18	700 RV	44	46	Democrats +2
Rasmussen Reports	12/12 - 12/18	3500 LV	43	40	Republicans +3
Reuters/Ipsos	12/8 - 12/12	921 RV	42	48	Democrats +6
Rasmussen Reports	12/5 - 12/11	3500 LV	42	39	Republicans +3
Rasmussen Reports	11/28 - 12/4	3500 LV	43	38	Republicans +5
Rasmussen Reports	11/21 - 11/27	2000 LV	43	38	Republicans +5
Quinnipiac	11/14 - 11/20	2552 RV	36	40	Democrats +4
Rasmussen Reports	11/14 - 11/20	3500 LV	41	40	Republicans +1
PPP (D)	11/10 - 11/13	800 RV	45	45	Tie
Rasmussen Reports	11/7 - 11/13	3500 LV	41	41	Tie
Politico/GWU/Battleground	11/6 - 11/9	1000 LV	43	44	Democrats +1
Rasmussen Reports	10/31 - 11/6	3500 LV	44	37	Republicans +7
Reuters/Ipsos	10/31 - 11/3	937 RV	43	48	Democrats +5
Resurgent Republic (R)	10/30 - 11/2	1000 RV	38	40	Democrats +2
Quinnipiac	10/25 - 10/31	2294 RV	34	42	Democrats +8
Rasmussen Reports	10/24 - 10/30	3500 LV	43	40	Republicans +3
Rasmussen Reports	10/17 - 10/23	3500 LV	44	36	Republicans +8
Democracy Corps (D)	10/15 - 10/18	1000 LV	46	46	Tie
Rasmussen Reports	10/10 - 10/16	3500 LV	42	39	Republicans +3
PPP (D)	10/7 - 10/10	700 RV	42	45	Democrats +3
Reuters/Ipsos	10/6 - 10/10	934 RV	40	48	Democrats +8
Rasmussen Reports	10/3 - 10/9	3500 LV	43	38	Republicans +5
Quinnipiac	9/27 - 10/3	2118 RV	39	39	Tie
Rasmussen Reports	9/26 - 10/2	3500 LV	44	38	Republicans +6
Rasmussen Reports	9/19 - 9/25	3500 LV	42	40	Republicans +2
Rasmussen Reports	9/12 - 9/18	3500 LV	42	39	Republicans +3
Rasmussen Reports	9/5 - 9/11	3500 LV	43	38	Republicans +5
Rasmussen Reports	8/29 - 9/4	3500 LV	44	37	Republicans +7
Politico/GWU/Battleground	8/28 - 9/1	1000 LV	40	41	Democrats +1
Rasmussen Reports	8/22 - 8/28	3500 LV	45	36	Republicans +9
Quinnipiac	8/16 - 8/27	2730 RV	38	38	Tie
Pew Research	8/17 - 8/21	1205 RV	44	48	Democrats +4
Rasmussen Reports	8/15 - 8/21	3500 LV	44	38	Republicans +6
Rasmussen Reports	8/8 - 8/14	3500 LV	44	37	Republicans +7
Democracy Corps (D)	8/6 - 8/10	1000 LV	47	46	Republicans +1
USA Today/Gallup	8/4 - 8/7	1204 RV	44	51	Democrats +7
Rasmussen Reports	8/1 - 8/7	3500 LV	41	39	Republicans +2
Rasmussen Reports	7/25 - 7/31	3500 LV	43	39	Republicans +4
Rasmussen Reports	7/18 - 7/24	3500 LV	44	38	Republicans +6
PPP (D)	7/15 - 7/17	928 RV	44	46	Democrats +2
Rasmussen Reports	7/11 - 7/17	3500 LV	44	38	Republicans +6
Rasmussen Reports	7/4 - 7/10	3500 LV	44	38	Republicans +6
Rasmussen Reports	6/27 - 7/2	3500 LV	43	40	Republicans +3
Rasmussen Reports	6/20 - 6/26	3500 LV	44	37	Republicans +7
Democracy Corps (D)	6/18 - 6/21	1000 RV	47	44	Republicans +3
Rasmussen Reports	6/13 - 6/19	3500 LV	43	37	Republicans +6
Rasmussen Reports	6/6 - 6/12	4000 LV	43	38	Republicans +5
Rasmussen Reports	5/30 - 6/5	3500 LV	43	37	Republicans +6
Rasmussen Reports	5/23 - 5/29	3500 LV	43	37	Republicans +6
Democracy Corps (D)	5/21 - 5/25	1000 LV	45	46	Democrats +1
Rasmussen Reports	5/16 - 5/22	3500 LV	42	40	Republicans +2
Rasmussen Reports	5/9 - 5/15	3500 LV	44	37	Republicans +7
Politico/GWU/Battleground	5/8 - 5/12	1000 LV	42	42	Tie
Rasmussen Reports	5/2 - 5/7	3500 LV	41	38	Republicans +3
CNN/Opinion Research	4/29 - 5/1	964 RV	46	50	Democrats +4
Rasmussen Reports	4/25 - 5/1	3500 LV	42	39	Republicans +3
Rasmussen Reports	4/18 - 4/24	3500 LV	42	40	Republicans +2
Rasmussen Reports	4/11 - 4/17	3500 LV	42	39	Republicans +3
Democracy Corps (D)	4/10 - 4/12	1000 LV	47	45	Republicans +2
PPP (D)	4/7 - 4/10	532 RV	41	46	Democrats +5
Rasmussen Reports	4/4 - 4/10	3500 LV	44	38	Republicans +6
Rasmussen Reports	3/28 - 4/3	3500 LV	44	39	Republicans +5
Quinnipiac	3/22 - 3/28	2069 RV	40	37	Republicans +3
Rasmussen Reports	3/21 - 3/27	3500 LV	43	39	Republicans +4
Rasmussen Reports	3/14 - 3/20	3500 LV	45	37	Republicans +8
Rasmussen Reports	3/7 - 3/13	3500 LV	46	37	Republicans +9
Rasmussen Reports	2/28 - 3/6	3500 LV	45	39	Republicans +6
Rasmussen Reports	2/21 - 2/27	3500 LV	45	39	Republicans +6
Rasmussen Reports	2/14 - 2/20	3500 LV	46	37	Republicans +9
Rasmussen Reports	2/7 - 2/13	3500 LV	45	39	Republicans +6
PPP (D)	2/11 - 2/14	600 RV	41	45	Democrats +4
Democracy Corps (D)	2/7 - 2/9	1000 LV	48	46	Republicans +2
Rasmussen Reports	1/31 - 2/6	3500 LV	45	38	Republicans +7
Rasmussen Reports	1/24 - 1/30	3500 LV	45	38	Republicans +7
Rasmussen Reports	1/17 - 1/23	3500 LV	44	39	Republicans +5
Rasmussen Reports	1/10 - 1/16	3500 LV	46	38	Republicans +8
Democracy Corps (D)	1/9 - 1/12	1000 LV	47	44	Republicans +3
Rasmussen Reports	1/3 - 1/9	3500 LV	47	36	Republicans +11
Rasmussen Reports	12/27 - 1/2	3000 LV	45	35	Republicans +10
Rasmussen Reports	12/20 - 12/26	3500 LV	43	38	Republicans +5
Rasmussen Reports	12/13 - 12/19	3500 LV	45	38	Republicans +7
Rasmussen Reports	12/6 - 12/12	3500 LV	45	39	Republicans +6
Rasmussen Reports	11/29 - 12/5	3500 LV	45	40	Republicans +5
Rasmussen Reports	11/22 - 11/28	2500 LV	46	40	Republicans +6
Rasmussen Reports	11/15 - 11/21	3500 LV	44	39	Republicans +5
Rasmussen Reports	11/8 - 11/14	3500 LV	45	40	Republicans +5
Rasmussen Reports	11/1 - 11/7	3500 LV	49	39	Republicans +10
